Year,All species(118) Unsmoothed data,All species(118) Smoothed data,All species(118) Smoothed 2.5 CI,All species(118) Smoothed 97.5 CI,Farmland birds All (19) Unsmoothed data,Farmland birds All (19) Smoothed data,Farmland birds All (19) Smoothed 2.5 CI,Farmland birds All (19) Smoothed 97.5 CI,Farmland birds Generalist (7) Unsmoothed data,Farmland birds Generalist (7) Smoothed data,Farmland birds Generalist (7) Smoothed 2.5 CI,Farmland birds Generalist (7) Smoothed 97.5 CI,Farmland birds Specialist (12) Unsmoothed data,Farmland birds Specialist (12) Smoothed data,Farmland birds Specialist (12) Smoothed 2.5 CI,Farmland birds Specialist (12) Smoothed 97.5 CI,Woodland birds All (34) Unsmoothed data,Woodland birds All (34) Smoothed data,Woodland birds All (34) Smoothed 2.5 CI,Woodland birds All (34) Smoothed 97.5 CI,Woodland birds Generalist (12) Unsmoothed data,Woodland birds Generalist (12) Smoothed data,Woodland birds Generalist (12) Smoothed 2.5 CI,Woodland birds Generalist (12) Smoothed 97.5 CI,Woodland birds Specialist (22) Unsmoothed data,Woodland birds Specialist (22) Smoothed data,Woodland birds Specialist (22) Smoothed 2.5 CI,Woodland birds Specialist (22) Smoothed 97.5 CI,Water and Wetland birds All (26) Unsmoothed data,Water and Wetland birds All (26) Smoothed data,Water and Wetland birds All (26) Smoothed 2.5 CI,Water and Wetland birds All (26) Smoothed 97.5 CI,Water and Wetland birds Reed bed (4) Unsmoothed data,Water and Wetland birds Reed bed (4) Smoothed data,Water and Wetland birds Reed bed (4) Smoothed 2.5 CI,Water and Wetland birds Reed bed (4) Smoothed 97.5 CI,Water and Wetland birds Wet meadow (8) Unsmoothed data,Water and Wetland birds Wet meadow (8) Smoothed data,Water and Wetland birds Wet meadow (8) Smoothed 2.5 CI,Water and Wetland birds Wet meadow (8) Smoothed 97.5 CI,Water and Wetland birds Fast flow (4)  Unsmoothed data,Water and Wetland birds Fast flow (4)  Smoothed data,Water and Wetland birds Fast flow (4)  Smoothed 2.5 CI,Water and Wetland birds Fast flow (4)  Smoothed 97.5 CI,Water and Wetland birds Slow stand (6) Unsmoothed data,Water and Wetland birds Slow stand (6) Smoothed data,Water and Wetland birds Slow stand (6) Smoothed 2.5 CI,Water and Wetland birds Slow stand (6) Smoothed 97.5 CI,Seabirds All (11) Unsmoothed data,Seabirds Surface feeders (5) Unsmoothed data,Seabirds Subsurface feeders (4) Unsmoothed data,Wintering Water birds All (41)  Unsmoothed data,Wintering Water birds All (41)  Smoothed data,Wildfowl (22) Unsmoothed data,Wildfowl (22) Smoothed data,Waders (15) Unsmoothed data,Waders (15) Smoothed data
1970,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,105,102.3,101.5,103.8,103.7,99,97.3,101,100.5,99.2,95.9,104.1,105.4,98.8,97.3,100.3,106.1,103.3,102.1,104.2,110,104.5,103.3,105.6,103.8,102.6,100.7,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,109.4,104.4,103,106.4,104.3,98.6,95.5,102.6,104.5,99.3,92.5,108.1,104.2,98.2,95.3,100.8,112.5,106.1,103.9,107.9,119.8,109.1,107,111.5,108.1,104.2,100.6,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,108.6,106.1,103.8,108.7,101.1,98.9,94.4,104.3,105.7,100.2,90.2,113,98.9,98.2,94.3,101.8,111.1,107.3,104,110.4,118.1,112.2,109.3,116.1,106.8,104.4,99.1,109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,110.9,107.5,104.4,110.4,101.9,100.2,94.8,106.8,101.3,101.8,89.2,116.8,102.3,99.4,94.2,103.7,110.7,107.2,102.7,111.8,121.4,113.3,109.7,118.6,104.4,103.5,96.3,110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,113.1,108.4,105,111.9,106,102.3,96,109.5,111.9,104.2,90.5,121.5,103.1,101.3,94.9,106.5,111,106.1,101,111.1,123.8,111.8,108,117.7,103.6,102.6,94.1,110.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,100,100,100,100,100,100
1976,112,109,105.5,113.2,110,103.8,97.1,111.4,112.3,105.9,92.6,124.6,109.1,102.7,95.3,109,104,104.3,98.4,110.8,111.9,108,103.8,113.8,99.4,102.1,92.5,111.7,102.1,103,100.3,106.2,104.3,110.2,102.5,117.1,89.5,100.3,92.6,108.4,90.8,95.4,91.3,98.1,118.5,108.7,104.1,115,,,,99.7,101.3,102.4,103.9,95.9,97.4
1977,116.9,108.5,104.9,113,112,103.5,96.8,110.7,113.5,106.2,93.5,125.9,111.6,102.1,94.1,108.7,110.3,102.2,96.4,108.9,110.6,103.1,99.1,108.7,110.1,101.6,91.6,111.9,108.3,104.2,99.1,109,123.3,113.4,100.7,124.6,99.7,101.6,87.3,114.3,85.4,90.4,83.5,94.9,130.1,114.6,106.7,127.3,,,,94.2,103.6,93.8,109.1,94.9,95.9
1978,108.5,106.9,102.9,111.2,103.8,100.8,94.6,108,110,105,92.2,125,100.7,98.6,90.2,104.9,101.7,99.7,93.8,106.2,103,98.4,94,104.2,100.9,100.6,90.6,110.8,97.5,103.3,96.4,109.4,93.3,109.6,94.2,123.3,102.8,103.8,85.4,119,83.2,85.1,75.3,91.8,113.5,117.6,105.5,135.7,,,,108.9,107.3,121.9,115.4,91.9,96.2
1979,103.1,105.5,100.9,109.8,97.9,96.8,90.2,103.9,107.7,103.1,89.6,122.9,93,93.5,85.8,99.9,93.7,98.1,92,104.3,91.8,95.2,90.7,101.2,94.9,100,89.9,110.2,93.1,102.2,94.2,109.3,91.9,102.8,87.9,118.7,91.9,106.6,85.5,124.6,74,79.6,68.9,87.2,122.3,119.2,104.6,140.1,,,,104.5,111,109.4,120.6,97.7,98.2
