county	years	pop
Alameda	1980	"1,109,500"
	1981	"1,126,000"
	1982	"1,141,400"
	1983	"1,160,500"
	1984	"1,177,200"
	1985	"1,196,000"
	1986	"1,215,200"
	1987	"1,228,800"
	1988	"1,250,600"
	1989	"1,271,000"
	1990	"1,276,100"
Alpine	1980	"1,100"
	1981	"1,100"
	1982	"1,100"
	1983	"1,100"
	1984	"1,100"
	1985	"1,100"
	1986	"1,100"
	1987	"1,100"
	1988	"1,100"
	1989	"1,100"
	1990	"1,090"
Amador	1980	"19,500"
	1981	"20,100"
	1982	"20,400"
	1983	"20,800"
	1984	"21,400"
	1985	"22,200"
	1986	"22,800"
	1987	"24,000"
	1988	"26,400"
	1989	"28,300"
	1990	"30,450"
Butte	1980	"144,900"
	1981	"148,800"
	1982	"152,500"
	1983	"154,900"
	1984	"157,600"
	1985	"161,600"
	1986	"164,400"
	1987	"168,100"
	1988	"173,400"
	1989	"176,900"
	1990	"183,200"
Calaveras	1980	"20,900"
	1981	"21,700"
	1982	"22,800"
	1983	"23,500"
	1984	"24,200"
	1985	"25,000"
	1986	"26,100"
	1987	"27,600"
	1988	"28,800"
	1989	"30,600"
	1990	"32,450"
Colusa	1980	"12,900"
	1981	"13,200"
	1982	"13,800"
	1983	"14,000"
	1984	"14,000"
	1985	"14,600"
	1986	"14,800"
	1987	"14,800"
	1988	"15,300"
	1989	"15,900"
	1990	"16,300"
Contra Costa	1980	"658,500"
	1981	"667,200"
	1982	"678,500"
	1983	"689,700"
	1984	"698,000"
	1985	"710,900"
	1986	"725,800"
	1987	"740,800"
	1988	"760,800"
	1989	"785,000"
	1990	"806,300"
Del Norte	1980	"18,300"
	1981	"18,900"
	1982	"18,700"
	1983	"18,900"
	1984	"18,800"
	1985	"19,100"
	1986	"19,500"
	1987	"20,000"
	1988	"20,900"
	1989	"20,400"
	1990	"24,450"
El Dorado	1980	"86,500"
	1981	"89,300"
	1982	"92,300"
	1983	"93,300"
	1984	"95,300"
	1985	"99,100"
	1986	"102,900"
	1987	"107,600"
	1988	"114,000"
	1989	"119,700"
	1990	"127,300"
Fresno	1980	"517,400"
	1981	"529,000"
	1982	"541,600"
	1983	"555,900"
	1984	"571,300"
	1985	"582,800"
	1986	"593,300"
	1987	"609,100"
	1988	"627,500"
	1989	"649,000"
	1990	"670,200"
Glenn	1980	"21,500"
	1981	"22,000"
	1982	"22,200"
	1983	"22,700"
	1984	"22,600"
	1985	"22,900"
	1986	"23,000"
	1987	"23,000"
	1988	"23,500"
	1989	"24,200"
	1990	"24,850"
Humboldt	1980	"108,900"
	1981	"110,500"
	1982	"109,900"
	1983	"109,600"
	1984	"110,200"
	1985	"110,600"
	1986	"111,700"
	1987	"112,700"
	1988	"114,700"
	1989	"117,000"
	1990	"119,400"
Imperial	1980	"92,500"
	1981	"94,100"
	1982	"95,300"
	1983	"96,400"
	1984	"96,900"
	1985	"98,600"
	1986	"99,800"
	1987	"101,300"
	1988	"103,600"
	1989	"106,100"
	1990	"110,100"
Inyo	1980	"17,900"
	1981	"17,900"
	1982	"18,400"
	1983	"18,400"
	1984	"18,100"
	1985	"18,000"
	1986	"17,800"
	1987	"17,700"
	1988	"17,900"
	1989	"18,000"
	1990	"18,200"
Kern	1980	"406,100"
	1981	"419,000"
	1982	"433,600"
	1983	"446,900"
	1984	"459,200"
	1985	"473,800"
	1986	"485,900"
	1987	"497,900"
	1988	"511,200"
	1989	"525,100"
	1990	"548,000"
Kings	1980	"74,200"
	1981	"75,800"
	1982	"77,800"
	1983	"80,300"
	1984	"81,900"
	1985	"83,900"
	1986	"84,500"
	1987	"86,200"
	1988	"92,800"
	1989	"98,300"
	1990	"101,900"
Lake	1980	"36,800"
	1981	"38,600"
	1982	"39,900"
	1983	"41,700"
	1984	"43,800"
	1985	"45,600"
	1986	"46,300"
	1987	"47,300"
	1988	"48,200"
	1989	"49,200"
	1990	"51,000"
Lassen	1980	"21,800"
	1981	"22,600"
	1982	"23,500"
	1983	"23,700"
	1984	"24,100"
	1985	"24,300"
	1986	"24,900"
	1987	"26,500"
	1988	"27,200"
	1989	"26,900"
	1990	"27,700"
Los Angeles	1980	"7,500,300"
	1981	"7,607,100"
	1982	"7,766,300"
	1983	"7,921,900"
	1984	"8,044,400"
	1985	"8,190,900"
	1986	"8,373,100"
	1987	"8,527,400"
	1988	"8,639,400"
	1989	"8,768,700"
	1990	"8,860,300"
Madera	1980	"63,900"
	1981	"67,100"
	1982	"68,900"
	1983	"71,000"
	1984	"72,800"
	1985	"74,800"
	1986	"76,000"
	1987	"78,600"
	1988	"81,300"
	1989	"83,000"
	1990	"88,500"
Marin	1980	"222,700"
	1981	"223,400"
	1982	"222,600"
	1983	"222,600"
	1984	"221,200"
	1985	"220,200"
	1986	"221,400"
	1987	"221,800"
	1988	"223,000"
	1989	"227,000"
	1990	"229,900"
Mariposa	1980	"11,200"
	1981	"11,500"
	1982	"11,700"
	1983	"11,900"
	1984	"12,200"
	1985	"12,500"
	1986	"12,700"
	1987	"12,900"
	1988	"13,300"
	1989	"13,600"
	1990	"14,400"
Mendocino	1980	"67,000"
	1981	"68,500"
	1982	"69,800"
	1983	"70,800"
	1984	"71,800"
	1985	"73,400"
	1986	"74,500"
	1987	"75,600"
	1988	"76,800"
	1989	"78,500"
	1990	"80,600"
Merced	1980	"135,500"
	1981	"139,800"
	1982	"143,000"
	1983	"148,000"
	1984	"152,100"
	1985	"157,000"
	1986	"159,500"
	1987	"162,900"
	1988	"167,800"
	1989	"172,000"
	1990	"179,400"
Modoc	1980	"8,700"
	1981	"9,000"
	1982	"9,200"
	1983	"9,400"
	1984	"9,500"
	1985	"9,400"
	1986	"9,200"
	1987	"9,200"
	1988	"9,200"
	1989	"9,400"
	1990	"9,685"
Mono	1980	"8,700"
	1981	"8,900"
	1982	"9,300"
	1983	"9,200"
	1984	"8,800"
	1985	"8,800"
	1986	"8,800"
	1987	"8,900"
	1988	"9,100"
	1989	"9,300"
	1990	"10,100"
Monterey	1980	"292,100"
	1981	"299,900"
	1982	"306,600"
	1983	"314,400"
	1984	"321,700"
	1985	"327,400"
	1986	"333,700"
	1987	"338,400"
	1988	"343,000"
	1989	"346,600"
	1990	"356,800"
Napa	1980	"99,300"
	1981	"99,900"
	1982	"101,300"
	1983	"101,700"
	1984	"102,000"
	1985	"102,900"
	1986	"104,100"
	1987	"104,800"
	1988	"106,100"
	1989	"108,100"
	1990	"111,000"
Nevada	1980	"52,500"
	1981	"56,000"
	1982	"58,800"
	1983	"60,400"
	1984	"62,300"
	1985	"64,700"
	1986	"67,100"
	1987	"69,900"
	1988	"72,800"
	1989	"75,300"
	1990	"79,000"
Orange	1980	"1,944,800"
	1981	"2,003,900"
	1982	"2,043,500"
	1983	"2,086,000"
	1984	"2,119,100"
	1985	"2,166,300"
	1986	"2,218,400"
	1987	"2,268,300"
	1988	"2,316,500"
	1989	"2,372,400"
	1990	"2,412,000"
Placer	1980	"118,400"
	1981	"123,000"
	1982	"127,100"
	1983	"129,800"
	1984	"134,100"
	1985	"138,800"
	1986	"144,200"
	1987	"150,600"
	1988	"157,400"
	1989	"164,600"
	1990	"174,900"
Plumas	1980	"17,400"
	1981	"17,800"
	1982	"18,200"
	1983	"18,000"
	1984	"18,100"
	1985	"18,600"
	1986	"18,700"
	1987	"19,000"
	1988	"19,300"
	1989	"19,300"
	1990	"19,800"
Riverside	1980	"669,800"
	1981	"696,700"
	1982	"725,600"
	1983	"755,300"
	1984	"793,200"
	1985	"836,400"
	1986	"888,600"
	1987	"949,700"
	1988	"1,018,000"
	1989	"1,096,500"
	1990	"1,188,300"
Sacramento	1980	"787,900"
	1981	"806,700"
	1982	"832,200"
	1983	"852,900"
	1984	"869,800"
	1985	"890,700"
	1986	"918,200"
	1987	"951,400"
	1988	"981,700"
	1989	"1,011,800"
	1990	"1,046,900"
San Benito	1980	"25,200"
	1981	"25,800"
	1982	"26,700"
	1983	"27,500"
	1984	"28,600"
	1985	"29,900"
	1986	"31,400"
	1987	"32,700"
	1988	"34,100"
	1989	"35,900"
	1990	"36,900"
San Bernardino	1980	"902,200"
	1981	"931,800"
	1982	"964,000"
	1983	"993,500"
	1984	"1,023,500"
	1985	"1,065,600"
	1986	"1,120,800"
	1987	"1,189,800"
	1988	"1,269,500"
	1989	"1,353,000"
	1990	"1,432,100"
San Diego	1980	"1,873,300"
	1981	"1,921,800"
	1982	"1,965,100"
	1983	"2,003,500"
	1984	"2,055,700"
	1985	"2,109,300"
	1986	"2,182,900"
	1987	"2,260,700"
	1988	"2,341,000"
	1989	"2,432,800"
	1990	"2,504,900"
San Francisco	1980	"680,500"
