county,years,pop,,,,
Alameda,1999,"1,423,529",,,,
,2000,"1,448,768",,,,
,2001,"1,465,564",,,,
,2002,"1,468,468",,,,
,2003,"1,467,187",,,,
,2004,"1,465,540",,,,
,2005,"1,459,882",,,,
,2006,"1,464,839",,,,
,2007,"1,476,401",,,,
,2008,"1,491,781",,,,
,2009,"1,503,827",,,,
,2010,"1,513,493",,,,
Alpine,1999,"1,171",,,,
,2000,"1,203",,,,
,2001,"1,237",,,,
,2002,"1,248",,,,
,2003,"1,249",,,,
,2004,"1,266",,,,
,2005,"1,208",,,,
,2006,"1,255",,,,
,2007,"1,248",,,,
,2008,"1,208",,,,
,2009,"1,180",,,,
,2010,"1,147",,,,
Amador,1999,"34,769",,,,
,2000,"35,205",,,,
,2001,"35,784",,,,
,2002,"36,535",,,,
,2003,"36,776",,,,
,2004,"37,147",,,,
,2005,"37,722",,,,
,2006,"37,964",,,,
,2007,"38,085",,,,
,2008,"37,864",,,,
,2009,"37,905",,,,
,2010,"37,907",,,,
Butte,1999,"201,632",,,,
,2000,"203,446",,,,
,2001,"205,730",,,,
,2002,"208,154",,,,
,2003,"210,623",,,,
,2004,"212,212",,,,
,2005,"213,698",,,,
,2006,"215,684",,,,
,2007,"217,115",,,,
,2008,"218,485",,,,
,2009,"219,287",,,,
,2010,"220,024",,,,
Calaveras,1999,"40,288",,,,
,2000,"40,658",,,,
,2001,"41,428",,,,
,2002,"42,119",,,,
,2003,"43,186",,,,
,2004,"43,924",,,,
,2005,"44,773",,,,
,2006,"45,316",,,,
,2007,"45,638",,,,
,2008,"45,702",,,,
,2009,"45,562",,,,
,2010,"45,258",,,,
Colusa,1999,"18,594",,,,
,2000,"18,880",,,,
,2001,"19,068",,,,
,2002,"19,391",,,,
,2003,"19,685",,,,
,2004,"20,184",,,,
,2005,"20,565",,,,
,2006,"20,893",,,,
,2007,"21,119",,,,
,2008,"21,172",,,,
,2009,"21,270",,,,
,2010,"21,452",,,,
Contra Costa,1999,"937,226",,,,
,2000,"953,675",,,,
,2001,"970,496",,,,
,2002,"978,795",,,,
,2003,"989,705",,,,
,2004,"998,201",,,,
,2005,"1,004,230",,,,
,2006,"1,010,104",,,,
,2007,"1,021,251",,,,
,2008,"1,033,292",,,,
,2009,"1,043,501",,,,
,2010,"1,052,192",,,,
Del Norte,1999,"27,513",,,,
,2000,"27,447",,,,
,2001,"27,418",,,,
,2002,"27,615",,,,
,2003,"27,871",,,,
,2004,"28,187",,,,
,2005,"28,315",,,,
,2006,"28,276",,,,
,2007,"28,480",,,,
,2008,"28,571",,,,
,2009,"28,559",,,,
,2010,"28,577",,,,
El Dorado,1999,"154,507",,,,
,2000,"158,288",,,,
,2001,"161,880",,,,
,2002,"164,725",,,,
,2003,"167,670",,,,
,2004,"170,304",,,,
,2005,"173,181",,,,
,2006,"175,258",,,,
,2007,"177,195",,,,
,2008,"178,599",,,,
,2009,"179,701",,,,
,2010,"181,183",,,,
Fresno,1999,"789,748",,,,
,2000,"802,224",,,,
,2001,"815,003",,,,
,2002,"828,637",,,,
,2003,"845,917",,,,
,2004,"860,226",,,,
,2005,"871,910",,,,
,2006,"886,376",,,,
,2007,"899,826",,,,
,2008,"913,239",,,,
,2009,"923,895",,,,
,2010,"933,075",,,,
Glenn,1999,"26,308",,,,
,2000,"26,555",,,,
,2001,"26,611",,,,
,2002,"26,792",,,,
,2003,"27,156",,,,
,2004,"27,264",,,,
,2005,"27,525",,,,
,2006,"27,731",,,,
,2007,"28,013",,,,
,2008,"28,120",,,,
,2009,"28,056",,,,
,2010,"28,188",,,,
Humboldt,1999,"126,393",,,,
,2000,"126,665",,,,
,2001,"127,348",,,,
,2002,"128,755",,,,
,2003,"130,179",,,,
,2004,"131,243",,,,
,2005,"131,689",,,,
,2006,"132,226",,,,
,2007,"132,657",,,,
,2008,"133,201",,,,
,2009,"133,766",,,,
,2010,"134,575",,,,
Imperial,1999,"140,822",,,,
,2000,"143,151",,,,
,2001,"144,726",,,,
,2002,"147,185",,,,
,2003,"150,909",,,,
,2004,"153,937",,,,
,2005,"157,657",,,,
,2006,"162,532",,,,
,2007,"166,894",,,,
,2008,"170,104",,,,
,2009,"173,241",,,,
,2010,"175,594",,,,
Inyo,1999,"18,162",,,,
,2000,"18,116",,,,
,2001,"18,207",,,,
,2002,"18,415",,,,
,2003,"18,507",,,,
,2004,"18,559",,,,
,2005,"18,463",,,,
,2006,"18,421",,,,
,2007,"18,447",,,,
,2008,"18,383",,,,
,2009,"18,448",,,,
,2010,"18,627",,,,
Kern,1999,"653,400",,,,
,2000,"664,373",,,,
,2001,"679,674",,,,
,2002,"696,504",,,,
,2003,"717,797",,,,
,2004,"740,022",,,,
,2005,"761,972",,,,
,2006,"786,220",,,,
,2007,"805,798",,,,
,2008,"819,891",,,,
,2009,"831,134",,,,
,2010,"841,744",,,,
Kings,1999,"127,440",,,,
,2000,"129,764",,,,
,2001,"132,441",,,,
,2002,"134,664",,,,
,2003,"138,772",,,,
,2004,"142,617",,,,
