county,years,gang_killings,guns_involved,murders,passion_murder,solved,youth_murder,pop,unsolved_percentage,murder_per_100_thousand,percentage_gang_killings,percentage_passion,percentage_other,year_code,county_code,percentage_solved,gkillings_per_100thousand
Kern,1980,1,55,89,12,55,26,406100,38.20224719,21.91578429,1.123595506,13.48314607,85.39325843,1,1,61.79775280898876,0.24624476729869488
Kern,1981,0,47,76,29,62,18,419000,18.42105263,18.13842482,0.0,38.15789474,61.84210526,2,1,81.57894736842105,0.0
Kern,1982,0,41,67,19,50,24,433600,25.37313433,15.45202952,0.0,28.35820896,71.64179104,3,1,74.6268656716418,0.0
Kern,1983,1,21,46,12,37,16,446900,19.56521739,10.29313045,2.173913043,26.08695652,71.73913043,4,1,80.43478260869566,0.22376370552696354
Kern,1984,0,22,43,6,29,10,459200,32.55813953,9.364111498,0.0,13.95348837,86.04651163,5,1,67.44186046511628,0.0
Kern,1985,0,34,66,15,44,9,473800,33.33333333,13.92992824,0.0,22.72727273,77.27272727,6,1,66.66666666666666,0.0
Kern,1986,1,26,56,18,36,14,485900,35.71428571,11.52500515,1.785714286,32.14285714,66.07142857,7,1,64.28571428571429,0.20580366330520683
Kern,1987,0,32,66,17,43,15,497900,34.84848485,13.25567383,0.0,25.75757576,74.24242424,8,1,65.15151515151516,0.0
Kern,1988,1,39,72,23,53,19,511200,26.38888889,14.08450704,1.388888889,31.94444444,66.66666667,9,1,73.6111111111111,0.19561815336463223
Kern,1989,0,27,52,19,39,14,525100,25.0,9.902875643,0.0,36.53846154,63.46153846,10,1,75.0,0.0
Kern,1990,3,43,67,17,57,14,548000,14.92537313,12.22627737,4.47761194,25.37313433,70.14925373,11,1,85.07462686567165,0.5474452554744526
Kern,1991,3,39,63,13,50,27,571684,20.63492063,11.02007403,4.7619047619999995,20.63492063,74.60317459999997,12,1,79.36507936507937,0.5247654298528558
Kern,1992,6,40,54,11,40,11,590452,25.92592593,9.145535962,11.11111111,20.37037037,68.51851852,13,1,74.07407407407408,1.0161706624755271
Kern,1993,9,53,79,15,52,29,601624,34.17721519,13.13112509,11.39240506,18.98734177,69.62025316,14,1,65.82278481012658,1.4959509594032154
Kern,1994,10,57,97,23,76,29,612169,21.64948454,15.84529762,10.30927835,23.71134021,65.97938144,15,1,78.35051546391753,1.6335358373259672
Kern,1995,10,51,80,14,57,24,618968,28.75,12.92473924,12.5,17.5,70.0,16,1,71.25,1.6155924054232207
Kern,1996,7,35,56,8,39,19,625818,30.35714286,8.94828848,12.5,14.28571429,73.21428571,17,1,69.64285714285714,1.1185360600046659
Kern,1997,6,49,64,10,39,17,635822,39.0625,10.06571021,9.375,15.625,75.0,18,1,60.9375,0.9436603326088119
Kern,1998,6,36,60,8,34,25,640659,43.33333333,9.365356608999999,10.0,13.33333333,76.66666667,19,1,56.66666666666666,0.9365356609366293
Kern,1999,5,36,56,12,40,19,653400,28.57142857,8.570554025,8.928571429,21.42857143,69.64285714,20,1,71.42857142857143,0.7652280379553107
Kern,2000,9,27,40,7,22,12,665308,45.0,6.012252972000001,22.5,17.5,60.0,21,1,55.00000000000001,1.352756918600107
Kern,2001,7,29,50,9,34,12,679674,32.0,7.356467954,14.0,18.0,68.0,22,1,68.0,1.029905513525602
Kern,2002,5,31,55,11,44,14,696504,20.0,7.8965806370000005,9.090909091,20.0,70.90909091,23,1,80.0,0.7178709670009074
Kern,2003,4,24,48,14,39,13,717797,18.75,6.687127418999999,8.333333332999999,29.16666667,62.5,24,1,81.25,0.5572606182527929
Kern,2004,5,38,56,11,47,15,740022,16.07142857,7.567342592999999,8.928571429,19.64285714,71.42857143,25,1,83.92857142857143,0.6756555886176356
Kern,2005,5,51,74,12,49,25,761972,33.78378378,9.711642948,6.756756757000001,16.21621622,77.02702703,26,1,66.21621621621621,0.6561920910479649
Kern,2006,13,49,67,11,38,25,786220,43.28358209,8.521787795,19.40298507,16.41791045,64.17910448,27,1,56.71641791044776,1.6534812139095927
