county,years,gang_killings,guns_involved,murders,passion_murder,solved,youth_murder,pop,unsolved_percentage,murder_per_100_thousand,percentage_gang_killings,percentage_passion,percentage_other,year_code,county_code,percentage_solved
Placer,1980,0,6,9,1,8,5,118400,11.11111111,7.601351351,0.0,11.11111111,88.88888889,1,1,88.8888888888889
Modoc,1980,0,1,2,0,1,1,8700,50.0,22.98850575,0.0,0.0,100.0,1,2,50.0
Sutter,1980,0,6,7,3,7,3,52600,0.0,13.30798479,0.0,42.85714286,57.14285714,1,3,100.0
Colusa,1980,0,1,2,0,1,2,12900,50.0,15.50387597,0.0,0.0,100.0,1,4,50.0
San Mateo,1980,2,24,37,3,30,8,588100,18.91891892,6.291447033,5.405405405,8.108108108,86.48648649,1,5,81.08108108108108
Monterey,1980,0,17,27,4,20,7,292100,25.92592593,9.243409791,0.0,14.81481481,85.18518519,1,6,74.07407407407408
Nevada,1980,0,1,3,0,3,0,52500,0.0,5.714285714,0.0,0.0,100.0,1,7,100.0
Mono,1980,0,1,2,0,2,0,8700,0.0,22.98850575,0.0,0.0,100.0,1,8,100.0
San Joaquin,1980,3,29,64,8,43,20,350200,32.8125,18.27527127,4.6875,12.5,82.8125,1,9,67.1875
Riverside,1980,0,57,95,15,62,25,669800,34.73684211,14.18333831,0.0,15.78947368,84.21052632,1,10,65.26315789473685
Sacramento,1980,0,40,81,10,56,28,787900,30.86419753,10.28049245,0.0,12.34567901,87.65432099,1,11,69.1358024691358
San Luis Obispo,1980,0,9,16,2,8,4,156600,50.0,10.21711367,0.0,12.5,87.5,1,12,50.0
Siskiyou,1980,0,1,1,0,1,0,40000,0.0,2.5,0.0,0.0,100.0,1,13,100.0
Plumas,1980,0,3,3,2,3,1,17400,0.0,17.24137931,0.0,66.66666667,33.33333333,1,14,100.0
San Benito,1980,1,2,3,0,3,0,25200,0.0,11.9047619,33.33333333,0.0,66.66666667,1,15,100.0
El Dorado,1980,0,5,9,1,6,4,86500,33.33333333,10.40462428,0.0,11.11111111,88.88888889,1,16,66.66666666666666
Butte,1980,0,1,7,3,4,1,144900,42.85714286,4.830917874,0.0,42.85714286,57.14285714,1,17,57.14285714285714
Shasta,1980,0,4,6,0,5,4,116600,16.66666667,5.145797599,0.0,0.0,100.0,1,18,83.33333333333334
Stanislaus,1980,0,16,31,9,28,10,267700,9.677419355,11.58012701,0.0,29.03225806,70.96774194,1,19,90.32258064516128
Kings,1980,0,2,5,1,2,3,74200,60.0,6.7385444739999985,0.0,20.0,80.0,1,20,40.0
Sonoma,1980,0,8,16,3,14,2,301400,12.5,5.308560053,0.0,18.75,81.25,1,21,87.5
