Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,5412572.0,5411129.0,5266162.0,5230626.0,5081671.0,5137147.0,5107668.0,5153935.0,5083314.0,4976628.0,4879788.0
Belgium,127198.0,130100.0,128705.0,128051.0,125606.0,125014.0,122274.0,121896.0,119690.0,118319.0,116128.0
Bulgaria,80956.0,75513.0,70846.0,69121.0,66578.0,67585.0,65950.0,64984.0,63955.0,62197.0,61538.0
Czechia,118348.0,117153.0,108673.0,108576.0,106751.0,109860.0,110764.0,112663.0,114405.0,114036.0,112231.0
Denmark,62818.0,63411.0,58998.0,57916.0,55873.0,56870.0,58205.0,61614.0,61397.0,61476.0,61167.0
Germany,665126.0,677947.0,662685.0,673544.0,682069.0,714927.0,737575.0,792141.0,784901.0,787523.0,778090.0
Estonia,15763.0,15825.0,14679.0,14056.0,13531.0,13551.0,13907.0,14053.0,13784.0,14367.0,14099.0
Ireland,75554.0,75174.0,74033.0,71674.0,68954.0,67295.0,65536.0,63841.0,61824.0,61022.0,59289.0
Greece,117933.0,114766.0,106428.0,100371.0,94134.0,92149.0,91847.0,92898.0,88553.0,86440.0,83763.0
Spain,493717.0,485252.0,470553.0,453348.0,424440.0,426076.0,418432.0,408734.0,391265.0,370827.0,358747.0
France,825564.0,833654.0,824263.0,821844.0,812343.0,819328.0,799671.0,784325.0,770045.0,759199.0,754008.0
Croatia,44577.0,43361.0,41197.0,41771.0,39939.0,39566.0,37503.0,37537.0,36556.0,36945.0,36135.0
Italy,568857.0,561944.0,546585.0,534186.0,514308.0,502596.0,485780.0,473438.0,458151.0,439747.0,420084.0
Cyprus,9608.0,9801.0,9622.0,10161.0,9341.0,9258.0,9170.0,9455.0,9229.0,9329.0,9548.0
Latvia,22044.0,19781.0,18825.0,19897.0,20596.0,21746.0,21979.0,21968.0,20828.0,19314.0,18786.0
Lithuania,32165.0,30676.0,30268.0,30459.0,29885.0,30369.0,31475.0,30623.0,28696.0,28149.0,27393.0
Luxembourg,5638.0,5874.0,5639.0,6026.0,6115.0,6070.0,6115.0,6050.0,6174.0,6274.0,6230.0
Hungary,96442.0,90335.0,88049.0,90269.0,89524.0,93281.0,92135.0,95361.0,94646.0,93467.0,93100.0
Malta,4029.0,3898.0,4165.0,4130.0,4032.0,4191.0,4325.0,4476.0,4319.0,4444.0,4350.0
Netherlands,184915.0,184397.0,180060.0,175959.0,171341.0,175181.0,170510.0,172520.0,169836.0,168525.0,169680.0
Austria,76344.0,78742.0,78109.0,78952.0,79330.0,81722.0,84381.0,87675.0,87633.0,85535.0,84952.0
Poland,417589.0,413300.0,388416.0,386257.0,369576.0,375160.0,369308.0,382257.0,401982.0,388178.0,374954.0
Portugal,99491.0,101381.0,96855.0,89841.0,82787.0,82367.0,85500.0,87126.0,86154.0,87020.0,86579.0
Romania,222388.0,212199.0,196242.0,201104.0,188599.0,198740.0,201995.0,205773.0,210590.0,202744.0,199720.0
Slovenia,21856.0,22343.0,21947.0,21938.0,21111.0,21165.0,20641.0,20345.0,20241.0,19585.0,19328.0
Slovakia,61217.0,60410.0,60813.0,55535.0,54823.0,55033.0,55602.0,57557.0,57969.0,57639.0,57054.0
Finland,60430.0,60980.0,59961.0,59493.0,58134.0,57232.0,55472.0,52814.0,50321.0,47577.0,45613.0
Sweden,111801.0,115641.0,111770.0,113177.0,113593.0,114907.0,114870.0,117425.0,115416.0,115832.0,114523.0
United Kingdom,790204.0,807271.0,807776.0,812970.0,778358.0,775908.0,776746.0,774386.0,754754.0,730918.0,712699.0
