Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,4901358.0,4906313.0,4871049.0,5010371.0,4994203.0,4941447.0,5221683.0,5129855.0,5266665.0,5307889.0,5257654.0
Belgium,103854.0,105152.0,104292.0,109076.0,109334.0,104755.0,110541.0,108097.0,109666.0,110693.0,108783.0
Bulgaria,108068.0,110165.0,108258.0,109281.0,104345.0,108952.0,110117.0,107580.0,109791.0,108526.0,108083.0
Czechia,107421.0,106844.0,106848.0,108189.0,109160.0,105665.0,111173.0,107750.0,111443.0,112920.0,112362.0
Denmark,54872.0,54368.0,52516.0,52325.0,52470.0,51340.0,52555.0,52824.0,53261.0,55232.0,53958.0
Germany,854544.0,858768.0,852328.0,869582.0,893825.0,868356.0,925200.0,910902.0,932272.0,954874.0,939520.0
Estonia,16081.0,15790.0,15244.0,15450.0,15244.0,15484.0,15243.0,15392.0,15543.0,15751.0,15401.0
Ireland,28380.0,27961.0,28456.0,29186.0,29504.0,29252.0,30127.0,30667.0,30317.0,31140.0,30959.0
Greece,108316.0,109084.0,111099.0,116668.0,111794.0,113740.0,121183.0,118788.0,124501.0,120296.0,124965.0
Spain,383209.0,380234.0,386017.0,401122.0,388600.0,393734.0,420408.0,408231.0,422037.0,425153.0,416102.0
France,548689.0,551369.0,545221.0,569986.0,569365.0,559435.0,593807.0,594005.0,606410.0,609747.0,613388.0
Croatia,52414.0,52096.0,51019.0,51710.0,50386.0,50839.0,54205.0,51542.0,53477.0,52706.0,51794.0
Italy,591663.0,587488.0,593427.0,612883.0,600744.0,598364.0,647571.0,615261.0,649061.0,633133.0,634417.0
Cyprus,5182.0,5103.0,5504.0,5665.0,5141.0,5424.0,5859.0,5471.0,5996.0,5768.0,6239.0
Latvia,29897.0,30040.0,28540.0,29025.0,28691.0,28466.0,28478.0,28580.0,28757.0,28820.0,27719.0
Lithuania,42032.0,42120.0,41037.0,40938.0,41511.0,40252.0,41776.0,41106.0,40142.0,39574.0,38281.0
Luxembourg,3655.0,3760.0,3819.0,3876.0,3822.0,3841.0,3983.0,3967.0,4263.0,4318.0,4283.0
Hungary,130414.0,130456.0,128795.0,129440.0,126677.0,126294.0,131575.0,127098.0,131877.0,131247.0,129892.0
Malta,3221.0,3010.0,3267.0,3418.0,3236.0,3270.0,3442.0,3342.0,3571.0,3688.0,3688.0
Netherlands,134235.0,136058.0,135741.0,140813.0,141245.0,139223.0,147134.0,148997.0,150214.0,153363.0,151885.0
Austria,77381.0,77199.0,76479.0,79436.0,79526.0,78252.0,83073.0,80669.0,83270.0,83975.0,83386.0
Poland,384940.0,378478.0,375501.0,384788.0,387312.0,376467.0,394921.0,388009.0,402852.0,414200.0,409709.0
Portugal,104434.0,105953.0,102845.0,107612.0,106554.0,104843.0,108539.0,110573.0,109758.0,113051.0,111793.0
Romania,257213.0,259723.0,251439.0,255539.0,247475.0,254965.0,262442.0,258404.0,262321.0,263911.0,259889.0
Slovenia,18750.0,18609.0,18699.0,19257.0,19334.0,18886.0,19834.0,19689.0,20509.0,20485.0,20588.0
Slovakia,52913.0,53445.0,51903.0,52437.0,52089.0,51346.0,53826.0,52351.0,53914.0,54293.0,53234.0
Finland,49883.0,50887.0,50585.0,51707.0,51472.0,52186.0,52492.0,53923.0,53722.0,54527.0,53949.0
Sweden,90080.0,90487.0,89938.0,91938.0,90402.0,88976.0,90907.0,90982.0,91972.0,92185.0,88766.0
United Kingdom,559617.0,561666.0,552232.0,569024.0,574945.0,568840.0,601272.0,595655.0,605748.0,614313.0,604621.0
