Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,12.216,11.984,11.8,11.7,11.5,11.3,11.184,11.084,10.9,10.8,10.8
Belgium,12.1,12.1,12.1,12.084,12.0,11.9,11.8,11.684,11.6,11.4,11.4
Bulgaria,12.5,12.184,11.816,11.4,10.9,10.416,9.984,9.584,9.284,9.116,8.9
Czechia,12.684,12.4,11.984,11.5,11.1,10.716,10.284,9.9,9.584,9.316,9.084
Denmark,12.0,12.216,12.5,12.7,12.8,12.9,12.916,12.9,12.916,12.8,12.616
Germany,11.4,11.284,11.1,11.0,10.884,10.784,10.7,10.7,10.6,10.5,10.4
Estonia,14.016,13.516,13.016,12.5,11.8,11.184,10.7,10.2,9.884,9.6,9.516
Ireland,14.484,13.7,12.884,12.2,11.716,12.2,12.216,12.1,12.2,12.4,12.6
Greece,11.5,11.2,10.9,10.716,10.584,10.4,10.216,10.116,10.116,10.1,10.216
Spain,10.9,10.6,10.3,10.0,9.884,9.716,9.6,9.616,9.6,9.684,9.8
France,12.6,12.416,12.284,12.1,12.016,11.9,11.8,11.8,11.8,11.716,11.8
Croatia,12.2,11.967,11.8,11.8,11.716,11.684,11.584,11.4,11.216,11.084,10.916
Italy,10.084,10.0,9.984,9.984,9.884,9.8,9.8,9.784,9.716,9.684,9.784
Cyprus,16.2,16.116,16.0,15.5,14.984,14.284,14.1,13.816,13.7,13.2,12.784
Latvia,14.9,14.116,13.4,12.7,12.0,11.284,10.7,10.116,9.684,9.284,9.184
Lithuania,14.9,14.584,14.184,13.884,13.516,13.284,12.916,12.384,11.8,11.016,10.5
Luxembourg,11.816,11.916,11.916,12.116,12.184,12.016,11.984,11.867,11.9,11.816,11.584
Hungary,12.6,12.516,12.3,12.2,12.1,11.9,11.6,11.4,11.116,10.9,10.716
Malta,13.9,13.8,13.5,13.3,13.2,12.9,12.6,12.184,11.716,11.316,10.984
Netherlands,12.2,12.2,12.267000000000001,12.216,12.2,12.2,12.232999999999999,12.3,12.3,12.3,12.284
Austria,12.3,12.2,12.2,12.084,12.084,11.9,11.8,11.716,11.5,11.216,10.933
Poland,14.916,14.2,13.7,13.316,12.8,12.4,11.916,11.516,11.016,10.7,10.284
Portugal,11.216,11.016,10.9,10.816,10.684,10.7,10.684,10.716,10.616,10.616,10.616
Romania,12.484,12.4,12.3,12.216,11.784,11.384,11.1,10.916,10.784,10.616,10.567
Slovenia,11.984,11.616,11.2,10.9,10.484,10.1,9.8,9.616,9.5,9.4,9.4
Slovakia,14.9,14.484,14.0,13.484,13.0,12.616,12.2,11.7,11.2,10.816,10.416
Finland,12.4,12.316,12.3,12.184,12.2,12.0,11.884,11.7,11.5,11.3,11.184
Sweden,13.216,13.3,13.3,13.1,12.9,12.584,12.3,12.0,11.7,11.5,11.3
United Kingdom,13.1,13.116,13.084,13.016,12.9,12.716,12.584,12.416,12.116,11.916,11.8
