Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union - 27 countries (from 2020),440047892,440660421,439942305,440552661,441257711,442883888,443666812,444802830,445534430,446208557,446446444
European Union - 28 countries (2013-2020),502090235,503170618,502964837,504047749,505163053,507235091,508520205,510181874,511378572,512482133,513093556
European Union - 27 countries (2007-2013),497780439,498867771,498674980,499771765,500900913,502988282,504294889,505991205,507224359,508376640,509017310
Euro area - 19 countries  (from 2015),334470255,335266424,334572589,335288924,336044966,337764352,338562121,339787987,340541142,341253004,341524067
Euro area - 18 countries (2014),331286399,332124448,331520001,332285283,333073061,334820880,335640859,336899429,337693238,338444103,338729883
Belgium,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519
Bulgaria,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039
Czechia,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800
Denmark,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081
Germany (until 1990 former territory of the FRG),82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213
Estonia,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820
Ireland,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240
Greece,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599
Spain,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060
France,64350226,64658856,64978721,65276983,65600350,66165980,66458153,66638391,66809816,67026224,67177636
France (metropolitan),62465709,62765235,63070344,63375971,63697865,:,:,:,:,:,:
Croatia,4309796,4302847,4289857,4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246
Italy,59000586,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445,60483973,59816673
Cyprus,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236,875899
Latvia,2162834,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968
Lithuania,3183856,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184
Luxembourg,493500,502066,511840,524853,537039,549680,562958,576249,590667,602005,613894
Hungary,10030975,10014324,9985722,9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756
Malta,410926,414027,414989,417546,422509,429424,439691,450415,460297,475701,493559
Netherlands,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163
Austria,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775
Poland,38135876,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812
Portugal,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617
Romania,20440290,20294683,20199059,20095996,20020074,19947311,19870647,19760585,19643949,19533481,19414458
Slovenia,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908
Slovakia,5382401,5390410,5392446,5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421
Finland,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919
Sweden,9256347,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153,10120242,10230185
Iceland,319368,317630,318452,319575,321857,325671,329100,332529,338349,348450,356991
Liechtenstein,35589,35894,36149,36475,36838,37129,37366,37622,37810,38114,38378
Norway,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212
Switzerland,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8484130,8544527
United Kingdom,62042343,62510197,63022532,63495088,63905342,64351203,64853393,65379044,65844142,66273576,66647112
Montenegro,617157,619001,619850,620308,620893,621521,622099,622218,622387,622359,622182
North Macedonia,2048619,2052722,2057284,2059794,2062294,2065769,2069172,2071278,2073702,2075301,2077132
Albania,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324,2862427
Serbia,7334937,7306677,7251549,7216649,7181505,7146759,7114393,7076372,7040272,7001444,6963764
Turkey,71517100,72561312,73722988,74724269,75627384,76667864,77695904,78741053,79814871,80810525,82003882
Andorra,84484,84082,78115,78115,76246,:,:,71732,:,74794,76177
Belarus,9671912,9480178,9481193,9465150,9463840,9468154,9480868,9498364,9504704,9491823,9427348
Bosnia and Herzegovina,3843998,3844046,3843183,3839265,3835645,3830911,3825334,3515982,3509728,3500295,3492018
Kosovo (under United Nations Security Council Resolution 1244/99),2180686,2208107,1794180,1780021,1815606,1820631,1804944,1771604,1783531,1798506,1795666
Moldova,3567512,3563695,3560430,3559541,3559497,3557634,3555159,3553056,3550852,3547539,:
Monaco,:,:,:,:,:,:,37700,38200,:,38300,38300
Russia,141903979,141914509,142856536,143056383,:,143666931,:,:,:,:,:
San Marino,31269,:,31863,33376,33562,32520,32789,33005,33196,34453,34590
Ukraine,45963359,45782592,45598179,45453282,45372692,45245894,42759661,42590879,42414905,42216766,41983564
Armenia,3237976,3249482,3262650,3274285,3026878,3017079,3010598,2998577,2986151,2972732,2965269
Azerbaijan,8896900,8997586,9111078,9235085,9356483,9477119,9593038,9705643,9809981,9898085,9981457
Georgia,4385429,4436391,4469250,4497617,:,4490498,3729500,3720400,3726374,3729633,3723464
